nohup: ignoring input
Traceback (most recent call last):
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/train_td3.py", line 12, in <module>
    from td3 import TD3
  File "/home7/huangjunhao/xujingzehua/USV-AUV-col/td3.py", line 3, in <module>
    import torch
ModuleNotFoundError: No module named 'torch'
nohup: ignoring input
EP:35 | TD Error [36.403760757598725, 18.77230322301447] | ALoss [218.20149976366406, 168.47872226650304] | ep_r -59 | L_data 0.63 | sum_rate 0.47 | idu 2.00 | ec 113.38 | N_D 7 | CS [0. 0.] | FX [ 0. 24.]
EP:36 | TD Error [35.88051936962269, 18.283641527463626] | ALoss [214.9633500654619, 168.78472674786153] | ep_r -72 | L_data 0.58 | sum_rate 2.85 | idu 12.00 | ec 104.19 | N_D 5 | CS [0. 0.] | FX [ 0. 12.]
EP:37 | TD Error [40.18658104762212, 18.916789915178207] | ALoss [217.64126105218025, 171.72793780316363] | ep_r -72 | L_data 0.59 | sum_rate 2.14 | idu 9.00 | ec 104.26 | N_D 5 | CS [21. 21.] | FX [0. 0.]
EP:38 | TD Error [43.79419158722137, 19.433650608424777] | ALoss [218.92906699623617, 173.3292471078726] | ep_r -76 | L_data 0.58 | sum_rate 2.85 | idu 12.00 | ec 110.17 | N_D 4 | CS [0. 0.] | FX [4. 0.]
EP:39 | TD Error [47.06461153401957, 19.11539976222889] | ALoss [220.8106842498322, 178.68241917384373] | ep_r -80 | L_data 0.54 | sum_rate 4.75 | idu 20.00 | ec 108.44 | N_D 4 | CS [16. 16.] | FX [0. 0.]
EP:40 | TD Error [50.8605451307573, 18.32279844789] | ALoss [225.14108352584915, 178.32958566701853] | ep_r -68 | L_data 0.53 | sum_rate 4.75 | idu 20.00 | ec 122.90 | N_D 3 | CS [0. 0.] | FX [0. 0.]
EP:41 | TD Error [51.633637173907026, 18.15696537816203] | ALoss [225.61004050271018, 179.96705253974542] | ep_r -63 | L_data 0.56 | sum_rate 3.09 | idu 13.00 | ec 125.51 | N_D 4 | CS [0. 0.] | FX [176.   0.]
EP:42 | TD Error [48.708055524797466, 19.062051847383575] | ALoss [225.71480335460438, 186.50581327851836] | ep_r -61 | L_data 0.56 | sum_rate 2.85 | idu 12.00 | ec 125.06 | N_D 4 | CS [0. 0.] | FX [134.   0.]
EP:43 | TD Error [48.883978721740604, 18.844613577340628] | ALoss [226.5780420751124, 192.9725702459162] | ep_r -62 | L_data 0.55 | sum_rate 3.80 | idu 16.00 | ec 121.81 | N_D 4 | CS [0. 0.] | FX [0. 0.]
EP:44 | TD Error [48.999439492925895, 19.279489290464173] | ALoss [225.12303541185378, 196.99950516402544] | ep_r -67 | L_data 0.56 | sum_rate 4.04 | idu 17.00 | ec 130.88 | N_D 4 | CS [0. 0.] | FX [214.  41.]
EP:45 | TD Error [50.84894655705927, 19.65665400159228] | ALoss [225.53314141912776, 200.42410973425987] | ep_r -60 | L_data 0.52 | sum_rate 4.99 | idu 21.00 | ec 122.60 | N_D 3 | CS [1. 1.] | FX [0. 0.]
EP:46 | TD Error [50.39793710108403, 19.920583556343864] | ALoss [232.4389763373833, 207.08872450791395] | ep_r -105 | L_data 0.54 | sum_rate 4.27 | idu 18.00 | ec 109.56 | N_D 4 | CS [0. 0.] | FX [203.   0.]
EP:47 | TD Error [50.368555934040934, 20.281566111119716] | ALoss [244.39544192989626, 208.50856583601944] | ep_r -93 | L_data 0.53 | sum_rate 4.27 | idu 18.00 | ec 119.85 | N_D 3 | CS [0. 0.] | FX [335.   0.]
EP:48 | TD Error [50.52936543760957, 20.56037446287843] | ALoss [261.7768298291064, 213.91972898317502] | ep_r -133 | L_data 0.53 | sum_rate 5.22 | idu 22.00 | ec 130.98 | N_D 3 | CS [0. 0.] | FX [804.   0.]
EP:49 | TD Error [54.627020051786594, 20.88962684787594] | ALoss [287.2049030071491, 215.88781677307068] | ep_r -97 | L_data 0.53 | sum_rate 4.51 | idu 19.00 | ec 129.73 | N_D 3 | CS [0. 0.] | FX [652.   0.]
EP:50 | TD Error [56.82871465273313, 20.78576985129586] | ALoss [297.7052019330767, 219.03697172578399] | ep_r -87 | L_data 0.53 | sum_rate 5.46 | idu 23.00 | ec 129.65 | N_D 3 | CS [0. 0.] | FX [70.  0.]
EP:51 | TD Error [55.874650694154475, 21.14042582497611] | ALoss [308.9623128641378, 220.52750130728646] | ep_r -68 | L_data 0.54 | sum_rate 3.56 | idu 15.00 | ec 120.38 | N_D 4 | CS [0. 0.] | FX [188.   0.]
EP:52 | TD Error [57.1508423674714, 22.746881772707273] | ALoss [319.0992757852499, 227.0423712639899] | ep_r -105 | L_data 0.57 | sum_rate 2.85 | idu 12.00 | ec 114.32 | N_D 4 | CS [1. 1.] | FX [  0. 209.]
EP:53 | TD Error [57.88109118169123, 23.674771900539035] | ALoss [325.38858224295234, 234.32892010333416] | ep_r -72 | L_data 0.55 | sum_rate 3.56 | idu 15.00 | ec 124.45 | N_D 3 | CS [0. 0.] | FX [0. 0.]
EP:54 | TD Error [63.293061043951774, 22.852316498160956] | ALoss [335.14133656870473, 233.61253507844694] | ep_r -85 | L_data 0.55 | sum_rate 3.80 | idu 16.00 | ec 126.10 | N_D 4 | CS [8. 8.] | FX [124.   0.]
EP:55 | TD Error [63.052430674031775, 22.98282373201597] | ALoss [341.99271023166284, 236.43750006097417] | ep_r -80 | L_data 0.57 | sum_rate 2.61 | idu 11.00 | ec 121.05 | N_D 5 | CS [0. 0.] | FX [302.   0.]
EP:56 | TD Error [60.61624570421644, 23.200752785155824] | ALoss [351.95392943238403, 242.24689708484874] | ep_r -70 | L_data 0.51 | sum_rate 6.41 | idu 27.00 | ec 132.15 | N_D 3 | CS [0. 0.] | FX [846.   0.]
EP:57 | TD Error [62.32931986150446, 23.279623884302037] | ALoss [364.77800013706997, 240.74941861117398] | ep_r -115 | L_data 0.56 | sum_rate 4.04 | idu 17.00 | ec 129.82 | N_D 4 | CS [0. 0.] | FX [83.  0.]
EP:58 | TD Error [60.33103649432842, 23.7324386267038] | ALoss [382.0018527614963, 246.79387821041263] | ep_r -124 | L_data 0.56 | sum_rate 3.80 | idu 16.00 | ec 122.74 | N_D 4 | CS [0. 0.] | FX [657.   0.]
EP:59 | TD Error [60.74872404664428, 24.82540871070458] | ALoss [398.2586018717611, 245.82531625479012] | ep_r -82 | L_data 0.58 | sum_rate 2.37 | idu 10.00 | ec 123.88 | N_D 5 | CS [0. 0.] | FX [733.   0.]
EP:60 | TD Error [55.64552498816491, 26.245838472059557] | ALoss [409.92715481539943, 247.53536584875087] | ep_r -104 | L_data 0.54 | sum_rate 4.27 | idu 18.00 | ec 124.03 | N_D 3 | CS [0. 0.] | FX [448.   0.]
EP:61 | TD Error [63.33676255309022, 27.15100437682587] | ALoss [421.29438847285525, 252.84075723470866] | ep_r -92 | L_data 0.54 | sum_rate 5.22 | idu 22.00 | ec 129.38 | N_D 3 | CS [7. 7.] | FX [75.  0.]
EP:62 | TD Error [66.2494463887248, 27.039195135994987] | ALoss [434.7631930447482, 255.1200902978857] | ep_r -70 | L_data 0.48 | sum_rate 7.12 | idu 30.00 | ec 139.12 | N_D 2 | CS [0. 0.] | FX [204.   0.]
EP:63 | TD Error [65.44355068530713, 27.146458695342133] | ALoss [447.58407711673095, 259.1771972839173] | ep_r -104 | L_data 0.54 | sum_rate 4.04 | idu 17.00 | ec 125.05 | N_D 3 | CS [0. 0.] | FX [0. 0.]
EP:64 | TD Error [70.39756117143355, 27.231540873334126] | ALoss [463.81112612972964, 259.46820333597066] | ep_r -77 | L_data 0.50 | sum_rate 5.94 | idu 25.00 | ec 151.16 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:65 | TD Error [68.14149019696734, 26.78920211753883] | ALoss [472.30827741594345, 258.86998859295] | ep_r -78 | L_data 0.54 | sum_rate 4.51 | idu 19.00 | ec 148.56 | N_D 4 | CS [4. 4.] | FX [0. 0.]
EP:66 | TD Error [70.7562827759094, 28.158549952816653] | ALoss [470.24278041294644, 259.20778342751] | ep_r -59 | L_data 0.51 | sum_rate 5.94 | idu 25.00 | ec 156.16 | N_D 3 | CS [0. 0.] | FX [0. 0.]
EP:67 | TD Error [69.32899752530184, 26.86159165636762] | ALoss [455.0338410368928, 260.3948683457656] | ep_r -66 | L_data 0.52 | sum_rate 5.46 | idu 23.00 | ec 158.05 | N_D 3 | CS [0. 0.] | FX [187.   0.]
EP:68 | TD Error [70.07185269640638, 26.49389988273293] | ALoss [439.0987599436696, 260.6436811784407] | ep_r -66 | L_data 0.51 | sum_rate 5.70 | idu 24.00 | ec 162.33 | N_D 2 | CS [0. 0.] | FX [0. 0.]
EP:69 | TD Error [68.15008712410331, 26.667690049399148] | ALoss [415.1759971595787, 263.6230213877919] | ep_r -81 | L_data 0.55 | sum_rate 4.27 | idu 18.00 | ec 150.33 | N_D 4 | CS [4. 4.] | FX [0. 0.]
EP:70 | TD Error [67.56269184192577, 27.47597357705161] | ALoss [405.07470203136705, 266.9007645491715] | ep_r -58 | L_data 0.50 | sum_rate 5.94 | idu 25.00 | ec 155.64 | N_D 2 | CS [12. 12.] | FX [0. 0.]
EP:71 | TD Error [69.06215080467018, 27.37086808550489] | ALoss [396.49070942485247, 270.01396964241815] | ep_r -59 | L_data 0.53 | sum_rate 4.04 | idu 17.00 | ec 166.63 | N_D 3 | CS [0. 0.] | FX [0. 0.]
EP:72 | TD Error [70.16933337124911, 28.25491782406589] | ALoss [391.4990952041123, 271.47380713768655] | ep_r -66 | L_data 0.52 | sum_rate 4.75 | idu 20.00 | ec 172.76 | N_D 3 | CS [6. 6.] | FX [0. 0.]
EP:73 | TD Error [71.41897678470517, 29.203148431234904] | ALoss [387.56509567093065, 276.3688325529451] | ep_r -71 | L_data 0.56 | sum_rate 3.56 | idu 15.00 | ec 152.41 | N_D 4 | CS [0. 0.] | FX [0. 0.]
EP:74 | TD Error [73.06101654007004, 30.208297379843362] | ALoss [383.55748243455764, 280.0340073439744] | ep_r -83 | L_data 0.53 | sum_rate 4.27 | idu 18.00 | ec 161.97 | N_D 3 | CS [0. 0.] | FX [0. 0.]
EP:75 | TD Error [76.56770639105157, 30.13785042605557] | ALoss [377.609086653093, 280.20614209398997] | ep_r -66 | L_data 0.54 | sum_rate 4.27 | idu 18.00 | ec 159.34 | N_D 3 | CS [3. 3.] | FX [0. 0.]
EP:76 | TD Error [75.61064444626723, 29.61251291909537] | ALoss [374.26782013152865, 278.3235349550352] | ep_r -69 | L_data 0.50 | sum_rate 6.17 | idu 26.00 | ec 171.17 | N_D 2 | CS [9. 9.] | FX [0. 0.]
EP:77 | TD Error [72.23954429969444, 28.96338441393354] | ALoss [365.4098319892998, 284.2364291287326] | ep_r -83 | L_data 0.48 | sum_rate 6.65 | idu 28.00 | ec 171.18 | N_D 2 | CS [6. 6.] | FX [0. 0.]
EP:78 | TD Error [71.13490704699353, 29.447045581562296] | ALoss [352.6446121017654, 287.38307471946996] | ep_r -60 | L_data 0.47 | sum_rate 6.65 | idu 28.00 | ec 178.85 | N_D 1 | CS [0. 0.] | FX [0. 0.]
EP:79 | TD Error [71.83116600349113, 28.82594260921726] | ALoss [331.7669048480816, 286.02990405590504] | ep_r -63 | L_data 0.49 | sum_rate 7.12 | idu 30.00 | ec 179.20 | N_D 2 | CS [0. 0.] | FX [0. 0.]
